date,server,slug,item,side,price_min,price_max,price_weighted_mean,price_weighted_median,quantity_total,pct_10,pct_30,pct_50,pct_70,pct_90
2025-10-20,devaloka,perkitem_feet_hasteonvault,Soapstones,sell,1.99,4.0,2.8175641025641025,2.99,156,1.99,2.316666666666667,2.99,2.99,2.99
2025-10-20,devaloka,perkitem_jewelry_hercyneraid_1,Silver Oil,sell,22.0,25.0,22.452830188679247,22.0,106,22.0,22.0,22.0,22.0,23.0125
2025-10-20,devaloka,perkitem_jewelry_pvpzone_1,Empowering Animus,sell,280.0,299.0,288.4761904761905,284.07142857142856,21,280.4714285714286,282.27142857142854,284.07142857142856,285.87142857142857,294.275
2025-10-20,devaloka,perkitem_lifestaff_lowmanabonusheal,Draught of Mana Essence,sell,80.0,98.0,95.42857142857144,87.5,7,80.0,83.3,87.5,91.7,95.9
2025-10-20,devaloka,perkitem_lifestaff_onlowbonusheal,Healing Animus,sell,943.99,2500.0,1447.6596240601505,1400.495,133,943.9943461538462,1000.0,1400.495,1850.0,1850.0
2025-10-20,devaloka,perkitem_lifestaff_onremoveheal,Vial of Azalea,sell,398.0,499.0,434.5,420.0,20,398.0,398.0,420.0,450.0,499.0
2025-10-20,devaloka,perkitem_ring_onhealhot,Vial of Healing Water,sell,1590.0,2998.0,1960.969696969697,1797.642857142857,33,1652.5,1779.875,1797.642857142857,2098.0,2135.0
2025-10-20,devaloka,perkitem_ring_onheartremovebuffs,Healing Water Orb,sell,79.89,79.99,79.9478,79.90666666666667,50,79.89052631578947,79.89578947368422,79.90666666666667,79.94,79.97333333333333
2025-10-20,devaloka,perkitem_shield_kite_onblockdmg,Sparkmetal,sell,199.8,199.9,199.825,199.8,4,199.8,199.8,199.8,199.8,199.86
2025-10-20,devaloka,perkitem_shield_kite_onblockheal,Shard of Brass Mail,sell,298.0,689.0,359.74875,298.0,8,298.0,298.0,298.0,298.594,457.80000000000007
2025-10-20,devaloka,perkitem_weapon_hercyneraid_1,Poisonous Nectar,sell,100.0,298.0,238.52941176470588,289.2391304347826,136,102.88,212.44,289.2391304347826,289.8304347826087,294.37333333333333
2025-10-20,devaloka,perkitem_weapon_melee_alternateattacks,Charged Magnetite Chunk,sell,203.99,419.0,330.03982352941176,276.0,170,203.99,204.94736842105263,276.0,402.55555555555554,410.0
