date       ,server   ,slug                                                          ,item                                                   ,side ,price_min ,price_max ,price_weighted_mean    ,price_weighted_median  ,quantity_total ,pct_10                 ,pct_30                 ,pct_50                 ,pct_70                 ,pct_90
2025-10-19 ,devaloka ,dyeb184                                                       ,Covenant Illustrious Yellow Dye                        ,buy  ,    10.0  ,    10.0  ,   10.0                ,   10.0                ,            10 ,   10.0                ,   10.0                ,   10.0                ,   10.0                ,   10.0
2025-10-19 ,devaloka ,earthshelltailt1                                              ,Earthshell Tail                                        ,buy  ,    12.0  ,    12.46 ,   12.272015748031496  ,   12.426590909090908  ,           635 ,   12.0                ,   12.0                ,   12.426590909090908  ,   12.4465             ,   12.455398550724638
2025-10-19 ,devaloka ,earthspinet3                                                  ,Earthspine Flower                                      ,buy  ,     0.1  ,     0.1  ,    0.1                ,    0.1                ,            87 ,    0.1                ,    0.1                ,    0.1                ,    0.1                ,    0.1
2025-10-19 ,devaloka ,eggt1                                                         ,Egg                                                    ,buy  ,     0.05 ,     0.05 ,    0.05               ,    0.05               ,          1334 ,    0.05               ,    0.05               ,    0.05               ,    0.05               ,    0.05
2025-10-19 ,devaloka ,eggt5                                                         ,Giant Lizard Egg                                       ,buy  ,     0.05 ,     0.05 ,    0.05               ,    0.05               ,         19928 ,    0.05               ,    0.05               ,    0.05               ,    0.05               ,    0.05
2025-10-19 ,devaloka ,eliteangryearthsporest1                                       ,Growth-Attuned Spores                                  ,buy  ,     0.05 ,     0.05 ,    0.05               ,    0.05               ,           987 ,    0.05               ,    0.05               ,    0.05               ,    0.05               ,    0.05
2025-10-19 ,devaloka ,elkhooft3                                                     ,Huge Elk Hoof                                          ,buy  ,    15.0  ,    15.0  ,   15.0                ,   15.0                ,            53 ,   15.0                ,   15.0                ,   15.0                ,   15.0                ,   15.0
2025-10-19 ,devaloka ,emberstonet1                                                  ,Ember Stone                                            ,buy  ,     0.05 ,     0.05 ,    0.05               ,    0.05               ,          1107 ,    0.05               ,    0.05               ,    0.05               ,    0.05               ,    0.05
2025-10-19 ,devaloka ,emblemoffortitudet1                                           ,Emblem of Fortitude                                    ,buy  ,     2.0  ,     3.0  ,    2.552338530066815  ,    2.094758064516129  ,           449 ,    2.0                ,    2.0                ,    2.094758064516129  ,    2.4568548387096776 ,    2.818951612903226
2025-10-19 ,devaloka ,embroideredpaddingt5                                          ,Embroidered Padding                                    ,buy  ,    12.0  ,    12.0  ,   12.0                ,   12.0                ,            64 ,   12.0                ,   12.0                ,   12.0                ,   12.0                ,   12.0
2025-10-19 ,devaloka ,emeraldcutt4                                                  ,Cut Pristine Emerald                                   ,buy  ,    10.0  ,    12.0  ,   10.054945054945057  ,   10.0                ,           728 ,   10.0                ,   10.0                ,   10.0                ,   10.0                ,   10.0
2025-10-19 ,devaloka ,emeraldt1                                                     ,Flawed Emerald                                         ,buy  ,     0.26 ,     0.26 ,    0.26               ,    0.26               ,          2933 ,    0.26               ,    0.26               ,    0.26               ,    0.26               ,    0.26
2025-10-19 ,devaloka ,emeraldt2                                                     ,Emerald                                                ,buy  ,     0.1  ,     0.1  ,    0.1                ,    0.1                ,           299 ,    0.1                ,    0.1                ,    0.1                ,    0.1                ,    0.1
2025-10-19 ,devaloka ,emeraldt3                                                     ,Brilliant Emerald                                      ,buy  ,     2.51 ,     3.03 ,    2.914336312479312  ,    3.004186046511628  ,          3021 ,    2.51               ,    2.669634551495016  ,    3.004186046511628  ,    3.015937           ,    3.023958
2025-10-19 ,devaloka ,emeraldt4                                                     ,Pristine Emerald                                       ,buy  ,     5.0  ,    17.02 ,   11.9375935828877    ,    9.158563949139866  ,          2244 ,    5.8017950635751685 ,    7.480179506357517  ,    9.158563949139866  ,   11.283207207207203  ,   17.00476388888889
2025-10-19 ,devaloka ,empoweredcounterbalancet5                                     ,Empowered Counterbalance                               ,buy  ,     2.0  ,    20.0  ,    4.75801749271137   ,    2.0                ,           343 ,    2.0                ,    2.0                ,    2.0                ,    2.0                ,    8.45054945054945
2025-10-19 ,devaloka ,emptyheartt1                                                  ,Empty Ancient Heart                                    ,buy  ,     5.0  ,     6.0  ,    5.037087912087912  ,    5.0                ,           728 ,    5.0                ,    5.0                ,    5.0                ,    5.0                ,    5.0
2025-10-19 ,devaloka ,enchantedbowstringt5                                          ,Enchanted Bow String                                   ,buy  ,    12.0  ,    13.0  ,   12.84349593495935   ,   12.407228915662651  ,           492 ,   12.0                ,   12.170120481927713  ,   12.407228915662651  ,   12.64433734939759   ,   12.88144578313253
2025-10-19 ,devaloka ,enrichedmeatportiont5                                         ,Enriched Meat Roundel                                  ,buy  ,     0.05 ,     0.05 ,    0.05               ,    0.05               ,          9279 ,    0.05               ,    0.05               ,    0.05               ,    0.05               ,    0.05
