timestamp            ,item                                                     ,slug                                                                 ,server   ,top_buy  ,low_sell  ,avg_price ,volume   ,source
2025-10-18T16:20:18Z ,mediumfeet_voidbentt5                                    ,mediumfeet_voidbentt5                                                ,devaloka ,         , 13100.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Archaic Boots                                            ,mediumfeet_ancient2t4                                                ,devaloka ,         ,   699.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Concocter's Pants                                        ,mediumlegs_alchemistvar3t5                                           ,devaloka ,         ,   900.0  ,          ,     6.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Pirate Gunslinger Pants                                  ,mediumlegs_undeadpistoleert2                                         ,devaloka ,         ,    30.0  ,          ,     2.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Mixer's Gloves                                           ,mediumhands_jewelcraftingt4                                          ,devaloka ,         ,  1700.0  ,          ,    15.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Pirate Captain Hat                                       ,mediumhead_undeadofficert2                                           ,devaloka ,         ,    20.0  ,          ,     5.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Swashbuckler Coat                                        ,mediumchest_undeadberserkert2                                        ,devaloka ,         ,    50.0  ,          ,     2.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Profane Coat                                             ,mediumchest_corrupted2t5                                             ,devaloka ,         ,   299.0  ,          ,     5.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Pirate Gunslinger Coat                                   ,mediumchest_undeadpistoleert2                                        ,devaloka ,         ,    90.0  ,          ,     4.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Corrupting Tights                                        ,mediumlegs_darknessbreacht3                                          ,devaloka ,         ,    15.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Primeval Leather Boots                                   ,mediumfeet_angryearth1t4                                             ,devaloka ,         ,   699.0  ,          ,     2.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Rough Leather Coat                                       ,mediumchest_leathert2                                                ,devaloka ,         ,   100.0  ,          ,    16.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Trapper Coat                                             ,mediumchest_furdropt3                                                ,devaloka ,         ,    50.0  ,          ,     2.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Forsaken Leather Gloves                                  ,mediumhands_drowned1t2                                               ,devaloka ,         ,    34.0  ,          ,     6.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Forsaken Leather Hat                                     ,mediumhead_drowned1t4                                                ,devaloka ,         ,   100.0  ,          ,     3.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Weaponsmith Shirt                                        ,clothingchest_blacksmitht5                                           ,devaloka ,         ,   323.0  ,          ,    18.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Monstrum Vest                                            ,mediumchestbeastelitet5                                              ,devaloka ,         ,   500.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Primordial Leather Hat                                   ,mediumhead_angryearthelite1t5                                        ,devaloka ,         ,    60.0  ,          ,     6.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Gorgon's Gloves                                          ,mediumhands_hercyneraid_craftedschematic                             ,devaloka ,         ,  3000.0  ,          ,    70.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Sturgeon Style Gloves                                    ,mediumhands_medleyfaire2024                                          ,devaloka ,         ,  1499.0  ,          ,     6.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Weaver's Shoes                                           ,clothingfeet_weavert5                                                ,devaloka ,         ,  3479.0  ,          ,     8.0 ,nwmp_snapshot
